사고연도,사고유형구분,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,위도,경도
2015,보행노인,서울특별시 중구4,서울특별시 중구 신당동(기업은행성동지점 부근),6,7,37.565424,127.020916
2015,보행노인,서울특별시 중구5,서울특별시 중구 산림동(남강빌딩 부근),4,4,37.567992,126.997831
2015,보행노인,서울특별시 중구6,서울특별시 중구 충무로3가(호운빌딩 부근),4,5,37.562644,126.993084
2015,보행노인,서울특별시 중구7,서울특별시 중구 의주로2가(염천교 부근),3,3,37.559600,126.971140
2015,보행노인,서울특별시 용산구1,서울특별시 용산구 후암동(후암시장 부근),5,5,37.549796,126.977545
2015,보행노인,서울특별시 용산구2,서울특별시 용산구 용산동3가(삼각지역 부근),5,5,37.535249,126.974205
2015,보행노인,서울특별시 용산구3,서울특별시 용산구 보광동(81번종점 부근),4,5,37.526995,126.999939
2015,보행노인,서울특별시 용산구4,서울특별시 용산구 갈월동(항강로-청파1로진출로 부근),3,3,37.549418,126.971687
2015,보행노인,서울특별시 용산구5,서울특별시 용산구 남영동(숙대입구역 부근),3,3,37.545101,126.972065
2015,보행노인,서울특별시 성동구1,서울특별시 성동구 마장동(마장현대아파트 부근),6,6,37.570478,127.041962
2015,보행노인,서울특별시 성동구2,서울특별시 성동구 도선동(홍익동123빌딩 부근),5,5,37.566173,127.035760
2015,보행노인,서울특별시 성동구3,서울특별시 성동구 행당동(왕십리역_왕십리길_진입_1 부근),5,5,37.561450,127.034923
2015,보행노인,서울특별시 성동구4,서울특별시 성동구 금호동3가(금남시장 부근),5,5,37.548222,127.021916
2015,보행노인,서울특별시 성동구5,서울특별시 성동구 금호동1가(논골사거리 부근),3,3,37.556701,127.024905
2015,보행노인,서울특별시 성동구6,서울특별시 성동구 상왕십리동(상왕십리역 부근),3,3,37.564152,127.030134
2015,보행노인,서울특별시 성동구7,서울특별시 성동구 성수동2가(성수사거리 부근),3,3,37.542248,127.063697
2015,보행노인,서울특별시 성동구8,서울특별시 성동구 금호동1가(응봉현대아파트 부근),3,3,37.549525,127.029921
2015,보행노인,서울특별시 성동구9,서울특별시 성동구 옥수동(옥수동노인정 부근),3,3,37.541392,127.017249
2015,보행노인,서울특별시 광진구1,서울특별시 광진구 중곡동(광제사약국 부근),5,5,37.564693,127.081821
2015,보행노인,서울특별시 광진구2,서울특별시 광진구 구의동(영화사입구삼거리 부근),4,4,37.555032,127.093204
2015,보행노인,서울특별시 동대문구1,서울특별시 동대문구 제기동(우리은행청량리중앙지점 부근),13,13,37.579064,127.041389
2015,보행노인,서울특별시 동대문구2,서울특별시 동대문구 청량리동(청량리역_홍릉길_진입_1 부근),8,8,37.581368,127.044997
2015,보행노인,서울특별시 동대문구3,서울특별시 동대문구 제기동(용두교앞 부근),6,6,37.578200,127.034619
